日期|+|变更类型|+|应用系统|+|工单状态|+|COUNT(*)
2016-06-14|+|常规变更|+|金卡系统|+|已关闭|+|2
2016-06-08|+|常规变更|+|用户安全平台|+|待归档|+|1
2016-06-07|+|常规变更|+|数据中心网络系统|+|已关闭|+|14
2016-06-13|+|常规变更|+|公文处理平台|+|待归档|+|1
2016-06-07|+|常规变更|+|外部数据接入前置系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|新风控系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|第三方支付系统|+|已关闭|+|3
2016-06-06|+|常规变更|+|监管查控系统|+|待归档|+|1
2016-06-20|+|常规变更|+|银保通系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-06-23|+|常规变更|+|村镇银行信贷系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|基础环境基础服务平台|+|待归档|+|1
2016-06-27|+|常规变更|+|客户回单系统|+|任务分解|+|1
2016-06-24|+|常规变更|+|办公网络IMC平台|+|任务实施|+|1
2016-06-22|+|常规变更|+|金卡系统|+|变更审批|+|1
2016-06-20|+|常规变更|+|零售及小微决策分析系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|零售及小微决策分析系统|+|已关闭|+|1
2016-07-06|+|常规变更|+|xBank1.0系统|+|任务实施|+|1
2016-07-04|+|紧急变更|+|银保通系统|+|组织审批|+|1
2016-07-04|+|常规变更|+|移动运营数据平台|+|草稿|+|1
2016-06-06|+|常规变更|+|数据中心网络系统|+|已关闭|+|11
2016-06-17|+|常规变更|+|村镇银行EUSP系统|+|任务分解|+|1
2016-06-15|+|常规变更|+|基础公共硬件服务|+|任务实施|+|1
2016-06-15|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-06-15|+|常规变更|+|总行办公网络环境|+|已关闭|+|1
2016-06-15|+|常规变更|+|银保通系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|(null)|+|待归档|+|1
2016-06-15|+|常规变更|+|BPM系统|+|草稿|+|1
2016-06-07|+|常规变更|+|客服应用门户系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|客户回单系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|金卡系统|+|待归档|+|1
2016-06-22|+|常规变更|+|xBank2.0系统|+|已作废|+|1
2016-06-27|+|常规变更|+|房地产资金监管系统|+|待归档|+|1
2016-06-29|+|常规变更|+|MDS系统|+|已关闭|+|2
2016-07-01|+|常规变更|+|xBank2.0系统|+|任务实施|+|2
2016-06-20|+|常规变更|+|(null)|+|任务实施|+|1
2016-06-30|+|常规变更|+|客服营销系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|(null)|+|已作废|+|2
2016-06-06|+|常规变更|+|办公网络IMC平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|基础公共硬件服务|+|已关闭|+|3
2016-06-08|+|紧急变更|+|网络交易平台资金托管系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|统一考核系统|+|已关闭|+|1
2016-06-14|+|常规变更|+|数据中心网络系统|+|待归档|+|2
2016-06-30|+|常规变更|+|非现场稽核FXJH|+|任务实施|+|1
2016-06-28|+|紧急变更|+|代理业务平台|+|任务分解|+|1
2016-06-21|+|紧急变更|+|村镇银行EUSP系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|数据中心网络系统|+|待归档|+|4
2016-06-22|+|常规变更|+|CITRIX平台系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|(null)|+|任务实施|+|2
2016-06-30|+|常规变更|+|PE系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|CITRIX平台系统|+|任务实施|+|2
2016-06-06|+|常规变更|+|文件服务器系统|+|已关闭|+|1
2016-06-06|+|常规变更|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-14|+|常规变更|+|办公网络IMC平台|+|任务实施|+|3
2016-06-13|+|紧急变更|+|审计平台系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|移动应用管理平台|+|任务实施|+|1
2016-06-12|+|常规变更|+|生产历史数据管理平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|理财业务管理系统SAM|+|待归档|+|1
2016-06-27|+|常规变更|+|NPS系统|+|待归档|+|1
2016-06-21|+|常规变更|+|新网银系统|+|待归档|+|1
2016-07-01|+|常规变更|+|安保客户安全平台|+|变更初审|+|1
2016-06-13|+|常规变更|+|OA系统|+|已关闭|+|1
2016-06-08|+|常规变更|+|交易产品核心Kondor系统|+|待归档|+|1
2016-06-12|+|常规变更|+|PE系统|+|已关闭|+|2
2016-06-16|+|常规变更|+|办公网络IMC平台|+|任务实施|+|1
2016-06-20|+|常规变更|+|微信银行系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|RMDS|+|任务实施|+|1
2016-06-20|+|常规变更|+|基础环境基础服务平台|+|变更评估|+|1
2016-06-22|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-21|+|紧急变更|+|收单反欺诈风控系统|+|待归档|+|1
2016-07-05|+|常规变更|+|IT运维管理系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|渠道服务总线|+|已关闭|+|1
2016-06-15|+|常规变更|+|数据生命周期管理|+|任务实施|+|1
2016-06-12|+|常规变更|+|移动办公系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|移动支付业务管理系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|对公结售汇系统|+|已关闭|+|1
2016-06-27|+|紧急变更|+|(null)|+|已关闭|+|1
2016-06-29|+|紧急变更|+|运营管控系统|+|待归档|+|1
2016-06-29|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-08|+|紧急变更|+|个人外汇交易平台|+|已关闭|+|1
2016-06-14|+|常规变更|+|FDM系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|(null)|+|已关闭|+|1
2016-06-13|+|常规变更|+|金融IC卡系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|手机银行|+|待归档|+|1
2016-06-29|+|常规变更|+|直销银行系统|+|待归档|+|1
2016-06-30|+|常规变更|+|影像管理平台|+|已关闭|+|1
2016-06-23|+|常规变更|+|微信银行系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|用户安全平台|+|待归档|+|1
2016-06-23|+|常规变更|+|网络自动化系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|国库集中支付电子化平台系统|+|已关闭|+|1
2016-06-17|+|紧急变更|+|网络交易平台资金托管系统|+|待归档|+|1
2016-06-16|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-07|+|常规变更|+|海外核心系统|+|已作废|+|1
2016-06-27|+|常规变更|+|微视窗系统|+|任务分解|+|1
2016-06-27|+|常规变更|+|金卡系统|+|待归档|+|1
2016-07-01|+|常规变更|+|网络自动化系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|资金转移定价系统|+|待归档|+|1
2016-06-13|+|常规变更|+|零售信贷反欺诈系统|+|任务分解|+|1
2016-06-17|+|常规变更|+|数据中心网络系统|+|已关闭|+|16
2016-06-13|+|常规变更|+|移动版企业网银|+|待归档|+|1
2016-06-20|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-27|+|常规变更|+|第三方支付系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-06-22|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-07-05|+|紧急变更|+|新管会资产负债系统|+|变更审批|+|1
2016-07-06|+|常规变更|+|数据中心网络系统|+|任务实施|+|14
2016-06-30|+|常规变更|+|新风控系统|+|变更初审|+|1
2016-07-06|+|常规变更|+|6688网站|+|任务分解|+|1
2016-06-13|+|常规变更|+|金卡系统|+|已关闭|+|2
2016-06-17|+|常规变更|+|国库集中支付电子化平台系统|+|已关闭|+|1
2016-06-13|+|紧急变更|+|乐收银收单一体化系统|+|开发审批|+|1
2016-06-16|+|常规变更|+|新短信平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|资产托管财务估值(核算)系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|PRECISE数据库监控|+|任务实施|+|1
2016-06-07|+|常规变更|+|销售作业系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|南京分行微信卡券系统|+|任务实施|+|1
2016-06-28|+|常规变更|+|数据中心网络系统|+|已关闭|+|5
2016-06-22|+|常规变更|+|安保客户安全平台|+|已关闭|+|1
2016-06-27|+|常规变更|+|办公网络IMC平台|+|任务实施|+|2
2016-06-20|+|常规变更|+|存储管理系统|+|已关闭|+|1
2016-06-30|+|常规变更|+|数据中心网络系统|+|任务实施|+|12
2016-06-28|+|常规变更|+|审计平台系统|+|任务实施|+|1
2016-06-23|+|常规变更|+|IT运维管理系统|+|已关闭|+|2
2016-07-05|+|常规变更|+|汇兑通资金管理系统|+|组织审批|+|1
2016-07-04|+|常规变更|+|6688网站|+|任务实施|+|1
2016-06-06|+|常规变更|+|数据中心网络系统|+|待归档|+|2
2016-06-13|+|常规变更|+|计费系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|外部数据接入前置系统|+|已关闭|+|1
2016-06-08|+|紧急变更|+|小微之家|+|已关闭|+|1
2016-06-13|+|常规变更|+|数据中心网络系统|+|待归档|+|4
2016-06-08|+|常规变更|+|印章综合管理系统|+|待归档|+|1
2016-06-13|+|常规变更|+|安保基础服务平台|+|已关闭|+|1
2016-06-07|+|常规变更|+|新网银系统|+|已关闭|+|3
2016-06-15|+|紧急变更|+|电子填单系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|数据中心网络系统|+|待归档|+|2
2016-06-06|+|常规变更|+|新网银系统|+|待归档|+|1
2016-06-21|+|常规变更|+|自动化运维系统|+|草稿|+|1
2016-06-23|+|常规变更|+|PE系统|+|已关闭|+|2
2016-06-20|+|常规变更|+|手机银行|+|草稿|+|1
2016-06-18|+|常规变更|+|BPP系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|BPM系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|PE系统|+|任务实施|+|1
2016-06-28|+|紧急变更|+|MDS系统|+|已关闭|+|2
2016-06-20|+|常规变更|+|金卡系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|乐收银综合商务平台|+|待归档|+|1
2016-06-20|+|常规变更|+|(null)|+|已关闭|+|1
2016-07-06|+|常规变更|+|IT运维管理系统|+|任务实施|+|1
2016-06-30|+|常规变更|+|人民银行反洗钱系统|+|任务实施|+|1
2016-06-15|+|常规变更|+|基础公共硬件服务|+|已关闭|+|2
2016-06-13|+|常规变更|+|数据中心网络系统|+|任务实施|+|2
2016-06-07|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|1
2016-06-08|+|常规变更|+|新网银系统|+|待归档|+|1
2016-06-16|+|常规变更|+|村镇银行EUSP系统|+|任务分解|+|1
2016-06-29|+|常规变更|+|存储管理系统|+|任务实施|+|1
2016-06-23|+|常规变更|+|代收付系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|村镇银行EUSP系统|+|任务实施|+|1
2016-07-05|+|常规变更|+|安保客户安全平台|+|变更初审|+|1
2016-07-06|+|常规变更|+|民生云盘|+|变更初审|+|2
2016-06-06|+|常规变更|+|云商户平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|交易型理财产品销售系统|+|待归档|+|2
2016-06-07|+|常规变更|+|PBX电话交换系统|+|已关闭|+|2
2016-06-15|+|常规变更|+|金卡系统|+|已关闭|+|3
2016-06-13|+|常规变更|+|新管会报表应用|+|已关闭|+|1
2016-06-12|+|常规变更|+|办公网络IMC平台|+|已关闭|+|2
2016-06-15|+|常规变更|+|xBank1.0系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|移动版企业网银|+|待归档|+|1
2016-07-06|+|常规变更|+|分行审计平台|+|变更审批|+|1
2016-06-30|+|常规变更|+|新网银系统|+|任务实施|+|1
2016-06-06|+|常规变更|+|95568营销作业|+|草稿|+|1
2016-06-08|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-06-14|+|紧急变更|+|金卡系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|零售风险管理系统|+|已关闭|+|1
2016-06-23|+|常规变更|+|公文处理平台|+|任务实施|+|1
2016-06-20|+|常规变更|+|海外分行CRM|+|待归档|+|1
2016-06-21|+|常规变更|+|(null)|+|已作废|+|1
2016-06-29|+|常规变更|+|(null)|+|任务实施|+|1
2016-06-22|+|紧急变更|+|交易型理财产品销售系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|小微授信评审系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|BPM系统|+|任务实施|+|1
2016-06-21|+|紧急变更|+|FDM系统|+|待归档|+|1
2016-06-21|+|紧急变更|+|移动金融服务平台|+|待归档|+|1
2016-06-21|+|常规变更|+|办公网络IMC平台|+|任务实施|+|2
2016-07-04|+|常规变更|+|代理业务平台|+|任务实施|+|1
2016-07-01|+|常规变更|+|基础公共硬件服务|+|已关闭|+|1
2016-07-05|+|常规变更|+|ATM系统|+|任务实施|+|1
2016-06-30|+|常规变更|+|NPS系统|+|待归档|+|1
2016-06-13|+|常规变更|+|访问代理服务平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|e支付系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|手机银行|+|已关闭|+|1
2016-06-28|+|紧急变更|+|金卡系统|+|待归档|+|1
2016-06-27|+|常规变更|+|(null)|+|任务实施|+|1
2016-06-21|+|紧急变更|+|供应链融资系统|+|变更审批|+|1
2016-06-16|+|常规变更|+|人力资源系统|+|任务实施|+|1
2016-06-14|+|常规变更|+|村镇银行EUSP系统|+|任务分解|+|1
2016-06-22|+|常规变更|+|(null)|+|已作废|+|1
2016-06-21|+|紧急变更|+|帆软报表平台|+|变更初审|+|1
2016-06-24|+|常规变更|+|安保客户安全平台|+|待归档|+|1
2016-06-26|+|常规变更|+|资产托管交易所及结算网关系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|代理业务平台|+|待归档|+|1
2016-07-05|+|常规变更|+|实物黄金销售业务系统|+|任务实施|+|1
2016-06-30|+|常规变更|+|信息中心机构管理信息系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|海外分行CRM|+|任务实施|+|1
2016-06-16|+|紧急变更|+|第三方支付系统|+|已作废|+|1
2016-06-14|+|常规变更|+|NBU备份系统|+|任务实施|+|1
2016-06-08|+|常规变更|+|统一身份认证系统|+|待归档|+|1
2016-06-14|+|紧急变更|+|海外绩效考核系统|+|已关闭|+|1
2016-06-08|+|常规变更|+|(null)|+|已关闭|+|2
2016-06-13|+|常规变更|+|民生金积存计划系统（MGAP）|+|待归档|+|1
2016-06-13|+|常规变更|+|NPS系统|+|待归档|+|4
2016-06-12|+|常规变更|+|IT运维管理系统|+|变更初审|+|1
2016-06-14|+|紧急变更|+|客户回单系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|数据中心网络系统|+|已关闭|+|7
2016-06-24|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-06-22|+|常规变更|+|实物黄金销售业务系统|+|待归档|+|1
2016-06-29|+|紧急变更|+|贸易金融集中运营系统|+|变更审批|+|1
2016-07-05|+|常规变更|+|数据中心网络系统|+|任务实施|+|10
2016-07-04|+|常规变更|+|CITRIX平台系统|+|任务实施|+|1
2016-07-06|+|常规变更|+|基础公共硬件服务|+|已关闭|+|1
2016-07-01|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-07-05|+|常规变更|+|办公网络IMC平台|+|任务实施|+|3
2016-06-17|+|常规变更|+|零售及小微决策分析系统|+|任务实施|+|1
2016-06-16|+|常规变更|+|总行办公网络环境|+|任务实施|+|1
2016-06-12|+|常规变更|+|数据中心网络系统|+|待归档|+|2
2016-06-15|+|常规变更|+|安保客户安全平台|+|待归档|+|1
2016-06-07|+|常规变更|+|资产证券化系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|客服营销系统|+|待归档|+|1
2016-06-30|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|1
2016-06-22|+|紧急变更|+|村镇银行ESB|+|变更初审|+|1
2016-06-22|+|紧急变更|+|现金管理系统|+|变更审批|+|1
2016-06-21|+|常规变更|+|(null)|+|已关闭|+|1
2016-07-04|+|常规变更|+|办公网络IMC平台|+|任务实施|+|2
2016-07-06|+|常规变更|+|IT运维管理系统|+|变更初审|+|1
2016-06-06|+|常规变更|+|资产托管深证通网关系统|+|已关闭|+|1
2016-06-06|+|常规变更|+|个人外汇交易平台|+|任务实施|+|1
2016-06-06|+|常规变更|+|(null)|+|待归档|+|1
2016-06-13|+|常规变更|+|交易银行P2P托管系统|+|待归档|+|1
2016-06-15|+|常规变更|+|外部数据接入前置系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|基础环境基础服务平台|+|已关闭|+|1
2016-06-08|+|常规变更|+|实物黄金销售业务系统|+|待归档|+|1
2016-06-14|+|常规变更|+|手机银行|+|已关闭|+|1
2016-06-13|+|常规变更|+|手机银行|+|待归档|+|1
2016-06-07|+|常规变更|+|村镇银行EUSP系统|+|已关闭|+|1
2016-06-21|+|紧急变更|+|在线融资系统|+|变更审批|+|1
2016-06-20|+|常规变更|+|办公网络IMC平台|+|任务实施|+|2
2016-06-20|+|常规变更|+|实物黄金销售业务系统|+|已关闭|+|1
2016-06-23|+|常规变更|+|数据中心网络系统|+|任务实施|+|2
2016-06-24|+|常规变更|+|存储管理系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|NBU备份系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|集中运营业务处理系统|+|待归档|+|2
2016-07-05|+|常规变更|+|影像管理平台|+|任务实施|+|1
2016-06-30|+|常规变更|+|集中监控平台|+|已关闭|+|1
2016-06-17|+|常规变更|+|(null)|+|已关闭|+|2
2016-06-15|+|常规变更|+|IT运维管理系统|+|任务实施|+|1
2016-06-15|+|常规变更|+|CITRIX平台系统|+|已关闭|+|1
2016-06-14|+|紧急变更|+|卡支付集清算中心|+|已关闭|+|1
2016-06-14|+|常规变更|+|总行自助设备非现金系统|+|已关闭|+|1
2016-06-14|+|常规变更|+|总行办公网络环境|+|已关闭|+|1
2016-06-15|+|常规变更|+|交易型理财产品销售系统|+|草稿|+|1
2016-06-07|+|常规变更|+|监管查控系统|+|任务实施|+|1
2016-06-14|+|常规变更|+|分行特色业务平台|+|草稿|+|1
2016-06-13|+|常规变更|+|VP自助语音系统|+|任务分解|+|1
2016-06-08|+|常规变更|+|IT运维管理系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|总行办公网络环境|+|已关闭|+|1
2016-06-29|+|紧急变更|+|xBank2.0系统|+|待归档|+|1
2016-06-20|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-06-07|+|紧急变更|+|BPP系统|+|已关闭|+|1
