日期|+|变更类型|+|应用系统|+|工单状态|+|COUNT(*)
2016-07-04|+|常规变更|+|监管查控系统|+|任务实施|+|1
2016-06-29|+|紧急变更|+|PE系统|+|待归档|+|1
2016-07-04|+|常规变更|+|汇兑通资金管理系统|+|变更审批|+|1
2016-06-06|+|常规变更|+|审计平台系统|+|已关闭|+|2
2016-06-13|+|常规变更|+|新网银系统|+|待归档|+|1
2016-06-17|+|常规变更|+|网络交易平台资金托管系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|信息中心数据仓库应用门户系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|小微之家|+|已关闭|+|1
2016-06-12|+|常规变更|+|MDS系统|+|待归档|+|1
2016-06-27|+|常规变更|+|影像管理平台|+|任务实施|+|1
2016-06-18|+|常规变更|+|ATM系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|OA系统|+|任务分解|+|1
2016-07-01|+|紧急变更|+|交易型理财产品销售系统|+|变更审批|+|1
2016-07-04|+|常规变更|+|数据中心网络系统|+|已关闭|+|1
2016-07-04|+|常规变更|+|基础环境基础服务平台|+|任务实施|+|1
2016-06-14|+|常规变更|+|集中运营业务处理系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|储蓄国债EBOND系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|零售风险模型评分系统|+|任务分解|+|1
2016-06-20|+|常规变更|+|保理系统|+|待归档|+|1
2016-06-24|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|IT运维管理系统|+|已关闭|+|1
2016-07-04|+|紧急变更|+|网银互联系统|+|任务分解|+|1
2016-07-01|+|常规变更|+|新风控系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|验印系统|+|任务实施|+|1
2016-06-14|+|常规变更|+|新风控系统|+|任务实施|+|1
2016-06-17|+|标准变更|+|BPP系统|+|任务分解|+|1
2016-06-14|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-06-08|+|常规变更|+|(null)|+|草稿|+|1
2016-06-12|+|常规变更|+|IT运维管理系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|电子签章系统|+|待归档|+|1
2016-06-28|+|常规变更|+|手机银行|+|已关闭|+|1
2016-06-27|+|常规变更|+|BPP系统|+|已作废|+|2
2016-06-21|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|1
2016-07-05|+|常规变更|+|(null)|+|草稿|+|1
2016-07-05|+|常规变更|+|手机银行|+|变更审批|+|1
2016-07-06|+|常规变更|+|手机银行|+|变更审批|+|1
2016-06-14|+|紧急变更|+|统一网络支付平台|+|已关闭|+|1
2016-06-07|+|紧急变更|+|海外分行CRM|+|已关闭|+|1
2016-06-12|+|常规变更|+|审计平台系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|信息中心数据仓库应用门户系统|+|任务实施|+|1
2016-06-14|+|常规变更|+|公司网络金融外联系统|+|待归档|+|1
2016-06-20|+|常规变更|+|生产历史数据管理平台|+|已关闭|+|1
2016-06-24|+|常规变更|+|公司网络金融外联系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|审计平台系统|+|任务实施|+|1
2016-06-30|+|常规变更|+|NBU备份系统|+|任务实施|+|1
2016-06-16|+|常规变更|+|数据中心网络系统|+|已关闭|+|11
2016-06-07|+|常规变更|+|办公网络IMC平台|+|已关闭|+|2
2016-06-15|+|常规变更|+|PE系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|验印系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|市场风险管理系统|+|待归档|+|1
2016-06-12|+|常规变更|+|金融e管家|+|已关闭|+|1
2016-06-07|+|常规变更|+|PE系统|+|草稿|+|1
2016-06-21|+|常规变更|+|档案微缩系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|数据中心网络系统|+|任务实施|+|9
2016-06-22|+|常规变更|+|xBank2.0系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|分行特色业务平台|+|已关闭|+|3
2016-06-28|+|常规变更|+|基础公共硬件服务|+|任务实施|+|3
2016-06-22|+|常规变更|+|(null)|+|已关闭|+|1
2016-06-30|+|常规变更|+|数据中心网络系统|+|已关闭|+|2
2016-06-23|+|常规变更|+|信息管理中心数据仓库系统|+|已关闭|+|1
2016-07-04|+|常规变更|+|金卡系统|+|变更审批|+|1
2016-06-08|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|2
2016-06-13|+|常规变更|+|M3O-BPM工作流系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|(null)|+|已关闭|+|2
2016-06-13|+|常规变更|+|第三方支付系统|+|变更评估|+|1
2016-06-13|+|常规变更|+|数据中心网络系统|+|已关闭|+|6
2016-06-24|+|常规变更|+|移动办公系统|+|任务实施|+|1
2016-06-22|+|常规变更|+|直销银行系统|+|任务实施|+|1
2016-06-30|+|常规变更|+|数据中心网络系统|+|待归档|+|2
2016-07-06|+|常规变更|+|贵金属延期交易系统(黄金T+D)|+|开发审批|+|1
2016-07-02|+|常规变更|+|云商户平台|+|待归档|+|1
2016-06-06|+|常规变更|+|村镇银行税务管理平台|+|已关闭|+|1
2016-06-08|+|常规变更|+|办公网络IMC平台|+|已关闭|+|4
2016-06-14|+|紧急变更|+|统一商户管理平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|零售及小微决策分析系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|乐收银综合商务平台|+|已关闭|+|1
2016-06-07|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-20|+|常规变更|+|资产证券化系统|+|草稿|+|2
2016-06-27|+|常规变更|+|基础公共硬件服务|+|任务实施|+|2
2016-06-20|+|常规变更|+|NBU备份系统|+|任务实施|+|1
2016-06-21|+|紧急变更|+|商业汇票系统|+|变更审批|+|1
2016-06-28|+|常规变更|+|村镇银行数据平台|+|已关闭|+|1
2016-06-21|+|常规变更|+|PE系统|+|已关闭|+|1
2016-06-22|+|紧急变更|+|VP自助语音系统|+|变更审批|+|1
2016-06-12|+|常规变更|+|新管会报表应用|+|已关闭|+|2
2016-06-15|+|常规变更|+|信息管理中心星环大数据分析云平台系统|+|任务实施|+|1
2016-06-08|+|常规变更|+|OA系统|+|任务分解|+|1
2016-06-13|+|常规变更|+|金卡系统|+|待归档|+|1
2016-06-14|+|紧急变更|+|NPS系统|+|待归档|+|1
2016-06-14|+|常规变更|+|保理系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|文件服务器系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|办公网络IMC平台|+|任务实施|+|4
2016-06-20|+|常规变更|+|vmware虚拟化平台|+|已关闭|+|2
2016-06-27|+|常规变更|+|PE系统|+|待归档|+|2
2016-07-04|+|常规变更|+|新风控系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|ATM系统|+|已作废|+|1
2016-06-06|+|常规变更|+|BPP系统|+|已关闭|+|1
2016-06-06|+|常规变更|+|村镇银行征信系统|+|待归档|+|1
2016-06-17|+|紧急变更|+|第三方支付系统|+|任务分解|+|1
2016-06-13|+|常规变更|+|资产证券化系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|亚盟网站|+|待归档|+|1
2016-07-05|+|常规变更|+|对公贷款系统|+|变更审批|+|1
2016-06-06|+|常规变更|+|海外核心系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|储蓄国债EBOND系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|网络交易平台资金托管系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|计费系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-06-26|+|常规变更|+|信息中心SAS系统|+|已关闭|+|2
2016-06-13|+|常规变更|+|人民银行反洗钱系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|(null)|+|变更初审|+|1
2016-07-01|+|常规变更|+|零售及小微决策分析系统|+|任务实施|+|1
2016-06-29|+|常规变更|+|帆软报表平台|+|任务分解|+|1
2016-06-30|+|常规变更|+|CITRIX平台系统|+|任务实施|+|1
2016-06-30|+|常规变更|+|新短信平台|+|任务实施|+|1
2016-06-06|+|常规变更|+|资产托管投资监督系统|+|待归档|+|1
2016-06-08|+|常规变更|+|第三方支付系统|+|已关闭|+|1
2016-06-17|+|常规变更|+|移动金融服务平台|+|已关闭|+|1
2016-06-14|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-13|+|常规变更|+|CPS系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|手机银行|+|已关闭|+|1
2016-06-27|+|常规变更|+|CPS系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|数据中心网络系统|+|已作废|+|1
2016-06-24|+|常规变更|+|村镇银行EUSP系统|+|已关闭|+|1
2016-07-01|+|常规变更|+|数据中心网络系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|数据中心网络系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|分行特色业务平台|+|已关闭|+|1
2016-06-14|+|常规变更|+|商学院教学系统服务|+|已关闭|+|1
2016-06-17|+|常规变更|+|BPP系统|+|任务实施|+|1
2016-06-08|+|常规变更|+|新网银系统|+|已关闭|+|2
2016-06-13|+|常规变更|+|供应链融资系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|金融IC卡系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|交易所债券系统|+|任务实施|+|1
2016-06-28|+|常规变更|+|人力资源系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|财务报账影像系统|+|待归档|+|1
2016-06-20|+|常规变更|+|金融e管家|+|待归档|+|1
2016-06-06|+|紧急变更|+|(null)|+|已作废|+|1
2016-06-06|+|常规变更|+|(null)|+|已作废|+|1
2016-06-06|+|常规变更|+|新网银系统|+|已关闭|+|2
2016-06-16|+|常规变更|+|BPP系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|(null)|+|已关闭|+|1
2016-06-20|+|常规变更|+|财务报账系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|代理业务平台|+|已关闭|+|2
2016-06-21|+|常规变更|+|数据中心网络系统|+|待归档|+|1
2016-06-23|+|常规变更|+|审计平台系统|+|任务实施|+|2
2016-06-27|+|常规变更|+|批量代收付产品平台|+|待归档|+|1
2016-06-29|+|常规变更|+|CPS系统|+|已关闭|+|1
2016-06-29|+|紧急变更|+|人民币跨境收付系统|+|待归档|+|1
2016-06-20|+|常规变更|+|数据中心网络系统|+|已关闭|+|11
2016-06-21|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|NPS系统|+|已关闭|+|1
2016-06-21|+|紧急变更|+|渠道服务总线|+|待归档|+|1
2016-07-01|+|常规变更|+|基础公共硬件服务|+|任务实施|+|3
2016-07-05|+|常规变更|+|海外分行CRM|+|开发审批|+|1
2016-06-30|+|常规变更|+|SAP router系统|+|待归档|+|1
2016-07-05|+|常规变更|+|NBU备份系统|+|变更审批|+|1
2016-06-06|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-13|+|常规变更|+|代理业务平台|+|已关闭|+|2
2016-06-12|+|常规变更|+|安保基础服务平台|+|已关闭|+|2
2016-06-15|+|常规变更|+|企业级客户信息ECIF系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|微信银行系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|帆软报表平台|+|待归档|+|1
2016-06-13|+|常规变更|+|NPS系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|汇兑通资金管理系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|数据中心网络系统|+|任务实施|+|6
2016-06-27|+|常规变更|+|安保基础服务平台|+|已关闭|+|1
2016-06-28|+|常规变更|+|监管查控系统|+|待归档|+|1
2016-06-23|+|常规变更|+|数据中心网络系统|+|待归档|+|7
2016-06-21|+|紧急变更|+|新二代支付系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|CITRIX平台系统|+|待归档|+|1
2016-06-30|+|常规变更|+|集中监控平台|+|任务实施|+|1
2016-06-22|+|常规变更|+|数据中心网络系统|+|已关闭|+|8
2016-07-03|+|常规变更|+|第三方支付系统|+|任务实施|+|1
2016-06-12|+|常规变更|+|安保客户安全平台|+|待归档|+|1
2016-06-14|+|常规变更|+|基础公共硬件服务|+|已关闭|+|3
2016-06-16|+|常规变更|+|手机银行|+|已关闭|+|4
2016-06-17|+|常规变更|+|CITRIX平台系统|+|已关闭|+|1
2016-06-29|+|紧急变更|+|企业级客户信息ECIF系统|+|待归档|+|1
2016-06-24|+|常规变更|+|新网银系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|公司网络金融外联系统|+|待归档|+|1
2016-07-06|+|紧急变更|+|(null)|+|变更初审|+|1
2016-07-06|+|常规变更|+|数据中心网络系统|+|变更初审|+|1
2016-07-05|+|常规变更|+|金卡系统|+|变更初审|+|1
2016-06-12|+|常规变更|+|6688网站|+|已关闭|+|1
2016-06-08|+|常规变更|+|安保基础服务平台|+|已关闭|+|1
2016-06-13|+|常规变更|+|客户资产监管系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|贸易金融集中运营系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|统一商户管理平台|+|任务实施|+|1
2016-06-18|+|常规变更|+|征信报送系统|+|变更审批|+|1
2016-06-27|+|常规变更|+|cbank系统|+|待归档|+|1
2016-06-23|+|紧急变更|+|xBank2.0系统|+|待归档|+|1
2016-06-20|+|常规变更|+|CPS系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|(null)|+|待归档|+|1
2016-06-29|+|常规变更|+|ACS综合前置|+|待归档|+|1
2016-06-28|+|常规变更|+|统一报表平台|+|任务实施|+|1
2016-07-05|+|常规变更|+|审计平台系统|+|变更审批|+|1
2016-06-17|+|常规变更|+|数据中心网络系统|+|任务实施|+|2
2016-06-13|+|常规变更|+|微信银行系统|+|待归档|+|1
2016-06-12|+|常规变更|+|互联网贷款iLoan系统|+|任务分解|+|1
2016-06-20|+|常规变更|+|统一考核系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-07-04|+|常规变更|+|基础公共硬件服务|+|任务实施|+|1
2016-06-18|+|常规变更|+|办公网络IMC平台|+|任务实施|+|1
2016-06-13|+|常规变更|+|小微授信评审系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|(null)|+|已作废|+|1
2016-06-27|+|常规变更|+|统一考核系统|+|草稿|+|1
2016-06-27|+|常规变更|+|统一考核系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|自动化运维系统|+|已作废|+|1
2016-06-28|+|常规变更|+|老网银系统|+|已关闭|+|1
2016-06-30|+|紧急变更|+|统一报表平台|+|已关闭|+|1
2016-06-15|+|常规变更|+|坐席现场运营管理系统|+|待归档|+|1
2016-06-13|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|金卡系统|+|已关闭|+|1
2016-06-08|+|常规变更|+|银保通系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|小微之家|+|已关闭|+|1
2016-06-27|+|常规变更|+|NBU备份系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|移动金融服务平台|+|已关闭|+|1
2016-06-29|+|常规变更|+|直销银行系统|+|任务实施|+|1
2016-06-29|+|常规变更|+|PE系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|坐席现场运营管理系统|+|已关闭|+|1
2016-06-29|+|常规变更|+|乐收银收单一体化系统|+|已关闭|+|1
2016-06-30|+|紧急变更|+|实物黄金销售业务系统|+|草稿|+|1
2016-06-21|+|常规变更|+|网络自动化系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|审计平台系统|+|任务实施|+|1
2016-06-08|+|常规变更|+|ACS综合前置|+|已关闭|+|1
2016-06-13|+|常规变更|+|BPM系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|渠道服务总线|+|已关闭|+|1
2016-06-07|+|常规变更|+|数据中心网络系统|+|草稿|+|1
2016-06-21|+|紧急变更|+|金卡系统|+|任务分解|+|1
2016-06-28|+|紧急变更|+|e支付系统|+|待归档|+|1
2016-06-20|+|常规变更|+|统一报表平台|+|已关闭|+|1
2016-06-20|+|常规变更|+|零售风险管理系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|cbank系统|+|已关闭|+|1
2016-07-06|+|常规变更|+|(null)|+|草稿|+|1
2016-07-04|+|常规变更|+|手机银行|+|变更初审|+|1
2016-06-17|+|常规变更|+|(null)|+|已作废|+|2
2016-06-14|+|常规变更|+|基础公共硬件服务|+|已作废|+|1
2016-06-12|+|常规变更|+|数据中心网络系统|+|草稿|+|1
2016-06-12|+|常规变更|+|(null)|+|已作废|+|1
2016-06-15|+|常规变更|+|计费系统|+|任务实施|+|1
2016-06-27|+|常规变更|+|移动金融服务平台|+|任务分解|+|2
2016-06-28|+|常规变更|+|办公网络IMC平台|+|任务实施|+|2
2016-06-22|+|紧急变更|+|BPM系统|+|已关闭|+|1
2016-06-27|+|紧急变更|+|(null)|+|草稿|+|1
2016-06-29|+|紧急变更|+|FDM系统|+|变更审批|+|1
2016-06-29|+|常规变更|+|安保基础服务平台|+|已关闭|+|1
2016-06-24|+|常规变更|+|FDM系统|+|变更评估|+|1
2016-06-27|+|常规变更|+|ATM系统|+|已关闭|+|2
2016-07-06|+|常规变更|+|(null)|+|变更初审|+|11
2016-07-01|+|常规变更|+|SWIFT前置|+|任务实施|+|2
2016-06-30|+|紧急变更|+|上海自贸区资金报送系统|+|待归档|+|1
2016-06-07|+|常规变更|+|95568营销作业|+|任务实施|+|1
2016-06-07|+|常规变更|+|统一身份认证系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|数据中心网络系统|+|任务实施|+|2
2016-06-12|+|常规变更|+|资产托管清算系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|集中运营业务处理系统|+|任务实施|+|1
2016-06-27|+|常规变更|+|基础环境基础服务平台|+|已关闭|+|2
2016-06-22|+|常规变更|+|销售作业系统|+|已关闭|+|3
2016-06-28|+|常规变更|+|(null)|+|已作废|+|1
2016-06-22|+|紧急变更|+|客户回单系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|第三方支付系统|+|任务分解|+|4
2016-06-27|+|常规变更|+|BPP系统|+|任务实施|+|1
2016-06-24|+|常规变更|+|云商户平台|+|待归档|+|1
2016-06-30|+|常规变更|+|(null)|+|已关闭|+|2
2016-06-28|+|紧急变更|+|上海自贸区资金报送系统|+|待归档|+|1
2016-07-04|+|常规变更|+|6688网站|+|组织审批|+|1
2016-07-06|+|常规变更|+|直销银行系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|手机银行|+|任务实施|+|1
2016-07-05|+|常规变更|+|帆软报表平台|+|任务实施|+|1
2016-06-08|+|常规变更|+|海外核心系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|海外核心系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|数据中心网络系统|+|已关闭|+|9
2016-06-28|+|常规变更|+|基础公共硬件服务|+|已关闭|+|1
