日期|+|变更类型|+|应用系统|+|工单状态|+|COUNT(*)
2016-06-28|+|常规变更|+|NBU备份系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|新短信平台|+|任务实施|+|1
2016-06-21|+|常规变更|+|海外核心系统|+|任务实施|+|1
2016-06-28|+|紧急变更|+|新短信平台|+|变更审批|+|1
2016-06-21|+|紧急变更|+|乐收银收单一体化系统|+|待归档|+|1
2016-06-22|+|紧急变更|+|NPS系统|+|待归档|+|1
2016-06-23|+|常规变更|+|大数据平台计算集群|+|已关闭|+|1
2016-06-30|+|常规变更|+|资产证券化系统|+|任务实施|+|1
2016-07-06|+|常规变更|+|办公网络IMC平台|+|任务实施|+|1
2016-07-01|+|常规变更|+|新风控系统|+|已关闭|+|1
2016-07-01|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-15|+|常规变更|+|基础环境基础服务平台|+|待归档|+|1
2016-06-13|+|常规变更|+|银保通系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|xBank2.0系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|人民银行反洗钱系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|销售作业系统|+|任务实施|+|1
2016-06-06|+|常规变更|+|(null)|+|已关闭|+|1
2016-06-07|+|常规变更|+|安保基础服务平台|+|任务实施|+|1
2016-06-13|+|常规变更|+|(null)|+|草稿|+|4
2016-06-14|+|常规变更|+|网银互联系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|ATM系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|第三方支付系统|+|已关闭|+|1
2016-06-29|+|紧急变更|+|影像管理平台|+|已关闭|+|1
2016-06-30|+|常规变更|+|基础公共硬件服务|+|任务实施|+|1
2016-06-22|+|紧急变更|+|保证金存管银行系统|+|已关闭|+|1
2016-07-01|+|常规变更|+|SWIFT 系统|+|任务实施|+|1
2016-06-08|+|常规变更|+|OA系统|+|待归档|+|1
2016-06-08|+|常规变更|+|手机银行|+|已关闭|+|1
2016-06-06|+|紧急变更|+|数据中心网络系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|金融e管家|+|待归档|+|1
2016-06-20|+|常规变更|+|南京分行微信卡券系统|+|已作废|+|1
2016-06-22|+|紧急变更|+|PE系统|+|待归档|+|1
2016-06-21|+|常规变更|+|基础公共硬件服务|+|已关闭|+|1
2016-07-01|+|常规变更|+|e支付系统|+|已关闭|+|1
2016-06-14|+|常规变更|+|手机银行|+|待归档|+|1
2016-06-13|+|常规变更|+|客服营销系统|+|待归档|+|1
2016-06-13|+|常规变更|+|FDM系统|+|已关闭|+|2
2016-06-13|+|常规变更|+|移动金融服务平台|+|已关闭|+|2
2016-06-18|+|常规变更|+|数据中心网络系统|+|已关闭|+|1
2016-06-23|+|紧急变更|+|网络交易平台资金托管系统|+|待归档|+|1
2016-06-20|+|常规变更|+|新短信平台|+|待归档|+|1
2016-06-28|+|常规变更|+|PE系统|+|任务实施|+|1
2016-06-28|+|常规变更|+|电子邮件|+|草稿|+|1
2016-06-24|+|常规变更|+|保证金存管银行系统|+|已关闭|+|1
2016-07-05|+|常规变更|+|基础公共硬件服务|+|任务实施|+|1
2016-07-01|+|常规变更|+|海外核心系统|+|任务实施|+|1
2016-06-15|+|常规变更|+|(null)|+|已作废|+|2
2016-06-15|+|常规变更|+|FDM系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|乐收银收单一体化系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|老网银系统|+|任务实施|+|1
2016-06-14|+|紧急变更|+|PE系统|+|待归档|+|1
2016-06-20|+|常规变更|+|电子签章系统|+|已作废|+|1
2016-06-27|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-06-30|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-20|+|常规变更|+|金融产品分销平台|+|已关闭|+|1
2016-06-23|+|常规变更|+|统一报表平台|+|已关闭|+|1
2016-06-20|+|常规变更|+|DNS系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|手机银行|+|待归档|+|1
2016-06-14|+|紧急变更|+|ATM系统|+|已关闭|+|1
2016-06-14|+|常规变更|+|网络交易平台资金托管系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|南京分行微信卡券系统|+|任务实施|+|1
2016-06-24|+|常规变更|+|数据中心网络系统|+|已关闭|+|10
2016-06-27|+|常规变更|+|新网银系统|+|任务实施|+|1
2016-06-29|+|紧急变更|+|供应链融资系统|+|变更审批|+|1
2016-06-23|+|常规变更|+|(null)|+|已关闭|+|2
2016-06-21|+|常规变更|+|BPP系统|+|已关闭|+|2
2016-06-27|+|常规变更|+|(null)|+|草稿|+|1
2016-06-20|+|常规变更|+|xBank2.0系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|分行特色业务平台|+|已关闭|+|1
2016-06-28|+|常规变更|+|(null)|+|任务实施|+|1
2016-06-24|+|常规变更|+|移动学习系统|+|已关闭|+|1
2016-06-21|+|紧急变更|+|云商户平台|+|待归档|+|2
2016-07-04|+|常规变更|+|数据中心网络系统|+|任务实施|+|20
2016-06-08|+|常规变更|+|MDS系统|+|待归档|+|1
2016-06-16|+|常规变更|+|e支付系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|计费系统|+|待归档|+|1
2016-06-07|+|常规变更|+|人行征信查询管理系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|新网银系统|+|变更评估|+|1
2016-06-13|+|常规变更|+|微社区|+|待归档|+|1
2016-06-13|+|常规变更|+|PE系统|+|待归档|+|2
2016-06-07|+|常规变更|+|集中运营业务处理系统|+|任务实施|+|1
2016-06-13|+|常规变更|+|企业级客户信息ECIF系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|零售风险模型评分系统|+|任务分解|+|1
2016-06-21|+|常规变更|+|数据中心网络系统|+|已关闭|+|8
2016-06-27|+|常规变更|+|人民银行反洗钱系统|+|已关闭|+|2
2016-06-28|+|常规变更|+|BPP系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|影像管理平台|+|已关闭|+|1
2016-06-21|+|常规变更|+|实物黄金销售业务系统|+|任务实施|+|1
2016-07-04|+|紧急变更|+|资金交易管理系统|+|变更审批|+|1
2016-07-01|+|常规变更|+|基础公共硬件服务|+|待归档|+|1
2016-06-30|+|常规变更|+|办公网络IMC平台|+|任务实施|+|5
2016-06-06|+|常规变更|+|零售风险管理系统|+|已关闭|+|2
2016-06-06|+|常规变更|+|金融IC卡系统|+|已关闭|+|1
2016-06-16|+|常规变更|+|移动支付业务管理系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|金卡系统|+|已关闭|+|2
2016-06-15|+|常规变更|+|办公网络IMC平台|+|任务实施|+|5
2016-06-28|+|常规变更|+|(null)|+|待归档|+|1
2016-06-21|+|紧急变更|+|金卡系统|+|待归档|+|1
2016-06-27|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|移动学习系统|+|已关闭|+|1
2016-06-23|+|常规变更|+|(null)|+|草稿|+|1
2016-06-18|+|常规变更|+|商学院教学系统服务|+|已关闭|+|1
2016-06-28|+|常规变更|+|第三方支付系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|在线融资系统|+|任务实施|+|1
2016-06-22|+|常规变更|+|CITRIX平台系统|+|任务实施|+|1
2016-07-05|+|常规变更|+|金卡系统|+|任务实施|+|1
2016-06-07|+|常规变更|+|新网银系统|+|任务实施|+|1
2016-06-07|+|常规变更|+|企业级客户信息ECIF系统|+|任务实施|+|1
2016-06-13|+|常规变更|+|开放式基金代销系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|贸易金融集中运营系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|客户回单系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|生产历史数据管理平台|+|待归档|+|2
2016-06-29|+|常规变更|+|办公网络IMC平台|+|任务实施|+|3
2016-06-20|+|常规变更|+|零售贷款系统|+|任务实施|+|1
2016-06-22|+|常规变更|+|新版银关税费通系统|+|任务实施|+|1
2016-06-21|+|紧急变更|+|国库集中支付电子化平台系统|+|待归档|+|1
2016-07-05|+|常规变更|+|手机银行|+|变更初审|+|1
2016-06-30|+|常规变更|+|海外核心系统|+|任务实施|+|1
2016-06-14|+|常规变更|+|贵金属延期交易系统(黄金T+D)|+|待归档|+|1
2016-06-13|+|常规变更|+|新短信平台|+|任务实施|+|1
2016-06-12|+|常规变更|+|第三方支付系统|+|任务实施|+|1
2016-06-13|+|常规变更|+|代理业务平台|+|待归档|+|1
2016-06-23|+|常规变更|+|统一身份认证系统|+|回顾确认|+|1
2016-06-28|+|紧急变更|+|集中运营业务处理系统|+|已关闭|+|1
2016-06-14|+|常规变更|+|xBank2.0系统|+|已关闭|+|1
2016-06-21|+|紧急变更|+|统一报表平台|+|已关闭|+|1
2016-06-30|+|常规变更|+|移动学习系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|零售及小微决策分析系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|DNS系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|零售贷款系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|在线融资系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|总行办公网络环境|+|任务实施|+|1
2016-06-24|+|常规变更|+|档案微缩系统|+|任务实施|+|1
2016-06-28|+|常规变更|+|集中运营外包作业系统|+|草稿|+|1
2016-06-28|+|常规变更|+|村镇银行征信系统|+|待归档|+|1
2016-07-05|+|常规变更|+|商学院教学系统服务|+|任务实施|+|1
2016-07-06|+|常规变更|+|零售及小微决策分析系统|+|任务实施|+|1
2016-07-04|+|常规变更|+|(null)|+|任务实施|+|1
2016-06-16|+|常规变更|+|村镇银行EUSP系统|+|变更审批|+|1
2016-06-16|+|常规变更|+|IT运维管理系统|+|任务实施|+|1
2016-06-29|+|紧急变更|+|NPS系统|+|待归档|+|1
2016-06-23|+|紧急变更|+|运营管控系统|+|待归档|+|1
2016-06-30|+|常规变更|+|审计平台系统|+|任务实施|+|1
2016-06-20|+|常规变更|+|交易型理财产品销售系统|+|已关闭|+|1
2016-06-24|+|常规变更|+|SAP router系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|vmware虚拟化平台|+|任务分解|+|1
2016-07-01|+|紧急变更|+|上海自贸区资金报送系统|+|待归档|+|1
2016-06-13|+|常规变更|+|NPS系统|+|任务实施|+|1
2016-06-06|+|紧急变更|+|银商直通车系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-06-07|+|常规变更|+|基础环境基础服务平台|+|任务实施|+|2
2016-06-21|+|常规变更|+|OA系统|+|任务实施|+|1
2016-06-21|+|常规变更|+|FDM系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|总行办公网络环境|+|已关闭|+|1
2016-06-20|+|常规变更|+|ATM系统|+|已关闭|+|1
2016-07-01|+|常规变更|+|手机银行|+|变更审批|+|1
2016-06-30|+|常规变更|+|办公网/DHCP|+|任务实施|+|1
2016-07-05|+|常规变更|+|亚盟网站|+|任务实施|+|1
2016-07-06|+|常规变更|+|汇兑通资金管理系统|+|变更初审|+|1
2016-06-13|+|常规变更|+|办公网络IMC平台|+|任务实施|+|6
2016-06-08|+|常规变更|+|数据中心网络系统|+|已关闭|+|17
2016-06-13|+|常规变更|+|客户回单系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|新网银系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|个人外汇交易平台|+|待归档|+|2
2016-06-13|+|常规变更|+|资产托管清算系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|征信报送系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|安保基础服务平台|+|已作废|+|1
2016-06-13|+|常规变更|+|微信银行系统|+|已关闭|+|1
2016-06-14|+|常规变更|+|数据中心网络系统|+|已关闭|+|20
2016-06-15|+|常规变更|+|数据中心网络系统|+|任务实施|+|2
2016-06-16|+|常规变更|+|数据中心网络系统|+|待归档|+|6
2016-06-21|+|紧急变更|+|村镇银行信贷系统|+|草稿|+|1
2016-06-20|+|常规变更|+|新管会报表应用|+|已关闭|+|1
2016-06-27|+|常规变更|+|数据中心网络系统|+|已关闭|+|6
2016-06-27|+|常规变更|+|数据中心网络系统|+|待归档|+|2
2016-06-29|+|常规变更|+|数据中心网络系统|+|任务实施|+|8
2016-06-27|+|常规变更|+|非现场稽核FXJH|+|任务实施|+|1
2016-06-23|+|常规变更|+|数据中心网络系统|+|已关闭|+|8
2016-06-28|+|常规变更|+|NBU备份系统|+|任务实施|+|2
2016-06-22|+|紧急变更|+|企业级客户信息ECIF系统|+|待归档|+|1
2016-07-01|+|常规变更|+|办公网络IMC平台|+|任务实施|+|5
2016-07-05|+|常规变更|+|内网门户|+|任务实施|+|1
2016-07-01|+|常规变更|+|数据中心网络系统|+|任务实施|+|20
2016-07-01|+|常规变更|+|直销银行系统|+|已关闭|+|2
2016-06-06|+|常规变更|+|智能蜘蛛搜索数据系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|办公网络IMC平台|+|任务实施|+|2
2016-06-08|+|常规变更|+|移动学习系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|PIB银行间支付系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|数据中心网络系统|+|已关闭|+|17
2016-06-08|+|常规变更|+|在线融资系统|+|已关闭|+|1
2016-06-15|+|常规变更|+|(null)|+|变更初审|+|1
2016-06-21|+|常规变更|+|影像管理平台|+|已关闭|+|1
2016-06-22|+|紧急变更|+|CPS系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|实物黄金销售业务系统|+|待归档|+|1
2016-06-20|+|常规变更|+|M3O-BPM工作流系统|+|已关闭|+|1
2016-06-28|+|紧急变更|+|客户资产监管系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|代理业务平台|+|任务分解|+|1
2016-07-01|+|常规变更|+|客户回单系统|+|已作废|+|1
2016-06-15|+|常规变更|+|第三方支付系统|+|已关闭|+|1
2016-06-08|+|常规变更|+|村镇银行EUSP系统|+|已关闭|+|2
2016-06-12|+|常规变更|+|新防病毒系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|MDS系统|+|已关闭|+|1
2016-06-08|+|常规变更|+|PI系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|人民银行反洗钱系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|总行办公网络环境|+|已关闭|+|1
2016-06-20|+|常规变更|+|第三方支付系统|+|已关闭|+|1
2016-06-23|+|常规变更|+|NBU备份系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|第三方支付系统|+|已关闭|+|1
2016-07-01|+|常规变更|+|影像管理平台|+|任务实施|+|1
2016-06-07|+|常规变更|+|(null)|+|已关闭|+|1
2016-06-13|+|常规变更|+|(null)|+|已关闭|+|2
2016-06-28|+|常规变更|+|新网银系统|+|任务实施|+|1
2016-06-29|+|常规变更|+|验印系统|+|任务分解|+|1
2016-06-21|+|常规变更|+|全行无线集中服务平台|+|任务实施|+|1
2016-06-21|+|常规变更|+|第三方支付系统|+|已关闭|+|2
2016-07-01|+|常规变更|+|IT运维管理系统|+|任务实施|+|1
2016-07-01|+|常规变更|+|NBU备份系统|+|变更审批|+|1
2016-07-05|+|紧急变更|+|xBank2.0系统|+|变更审批|+|1
2016-06-06|+|常规变更|+|实物黄金销售业务系统|+|已作废|+|1
2016-06-06|+|常规变更|+|95568营销作业|+|待归档|+|1
2016-06-13|+|常规变更|+|资金交易管理系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|移动运营数据平台|+|已关闭|+|1
2016-06-16|+|常规变更|+|FDM系统|+|草稿|+|1
2016-06-21|+|常规变更|+|人行征信查询管理系统|+|已关闭|+|1
2016-06-29|+|紧急变更|+|统一报表平台|+|已关闭|+|1
2016-06-24|+|常规变更|+|亚盟网站|+|任务实施|+|1
2016-06-29|+|常规变更|+|监管查控系统|+|任务实施|+|1
2016-06-29|+|常规变更|+|互联网贷款iLoan系统|+|任务实施|+|1
2016-06-29|+|常规变更|+|互联网贷款iLoan系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|RMDS|+|已关闭|+|1
2016-06-27|+|常规变更|+|统一网络支付平台|+|待归档|+|1
2016-07-05|+|常规变更|+|直销银行系统|+|变更审批|+|1
2016-07-04|+|常规变更|+|(null)|+|变更初审|+|1
2016-07-04|+|常规变更|+|大数据平台计算集群|+|已关闭|+|1
2016-06-06|+|常规变更|+|金卡系统|+|已关闭|+|1
2016-06-17|+|常规变更|+|销售作业系统|+|已关闭|+|1
2016-06-13|+|常规变更|+|办公网络IMC平台|+|待归档|+|1
2016-06-08|+|紧急变更|+|银保通系统|+|已关闭|+|1
2016-06-12|+|常规变更|+|NBU备份系统|+|已关闭|+|2
2016-06-15|+|常规变更|+|实物黄金销售业务系统|+|已关闭|+|1
2016-06-22|+|紧急变更|+|MDS系统|+|已关闭|+|1
2016-06-20|+|常规变更|+|交易性能监控系统|+|任务实施|+|1
2016-06-27|+|常规变更|+|移动学习系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|数据中心网络系统|+|任务实施|+|1
2016-06-29|+|紧急变更|+|新管会报表应用|+|待归档|+|1
2016-06-21|+|紧急变更|+|新风控系统|+|变更审批|+|1
2016-06-23|+|常规变更|+|零售风险模型评分系统|+|已关闭|+|1
2016-06-27|+|常规变更|+|新管会资产负债系统|+|待归档|+|1
2016-07-06|+|常规变更|+|PBX电话交换系统|+|变更审批|+|1
2016-06-30|+|常规变更|+|xBank计算机模拟课程系统|+|任务实施|+|1
2016-06-17|+|常规变更|+|直销银行系统|+|已关闭|+|1
2016-06-17|+|常规变更|+|实物黄金销售业务系统|+|待归档|+|1
2016-06-12|+|常规变更|+|代理业务平台|+|已关闭|+|1
2016-06-15|+|常规变更|+|实物黄金销售业务系统|+|任务分解|+|1
2016-06-07|+|常规变更|+|零售贷款系统|+|已关闭|+|1
2016-06-21|+|常规变更|+|商学院教学系统服务|+|已关闭|+|1
2016-06-27|+|常规变更|+|在线融资系统|+|已关闭|+|1
2016-06-28|+|常规变更|+|数据生命周期管理|+|任务实施|+|1
2016-06-27|+|常规变更|+|金卡系统|+|变更审批|+|1
2016-06-29|+|紧急变更|+|在线融资系统|+|变更审批|+|1
2016-06-20|+|常规变更|+|移动办公系统|+|变更初审|+|1
2016-07-05|+|常规变更|+|(null)|+|已关闭|+|1
2016-07-06|+|常规变更|+|基础公共硬件服务|+|任务实施|+|1
2016-07-01|+|常规变更|+|(null)|+|草稿|+|1
2016-06-13|+|常规变更|+|e支付系统|+|待归档|+|1
2016-06-08|+|常规变更|+|信息科技风险指标管理平台|+|待归档|+|1
2016-06-14|+|紧急变更|+|新短信平台|+|待归档|+|1
2016-06-23|+|常规变更|+|NPS系统|+|已关闭|+|1
2016-06-22|+|常规变更|+|实物黄金销售业务系统|+|已关闭|+|1
2016-06-22|+|紧急变更|+|ATM系统|+|已关闭|+|1
2016-06-29|+|紧急变更|+|新风控系统|+|变更审批|+|1
2016-06-24|+|常规变更|+|零售及小微决策分析系统|+|任务实施|+|1